HV-Mode Off
T-Waveform SineWave+LinRamp
T-Amplitude[K] 0.5
T-Frequency[Hz] 0.01
T-Offset[K] 273.15
Heating-Rate[K/s] 0.0027777
Cooling-Rate[K/s] 0.0111111
T-Limit-High[K] 432.15
T-Limit-Low[K] 273.15
352.7076099 274.155558411024 274.01739704934
353.6957087 274.131287539166 273.990173885616
354.6838075 274.107641330481 273.96329624238
355.6799071 274.083895471902 273.937309963339
356.6680059 274.059975744507 273.912057301273
357.6581049 274.036583407723 273.887627575737
358.6512042 274.01332943544 273.864296582495
360.629402 273.96888730596 273.819422968051
361.6965087 273.94762490307 273.799779392943
362.6856076 273.927084340811 273.781516712519
363.6747065 273.908222758171 273.764716046701
364.6638054 273.889517392895 273.74946750309
365.6519042 273.872217133436 273.735822673815
366.640003 273.855758936175 273.723799684049
367.6321022 273.839845924052 273.713523963087
368.6232013 273.826021267621 273.705048350287
369.6123002 273.813212653575 273.697970028547
370.6754065 273.801499404019 273.693286554825
371.6715061 273.791344712293 273.690532875542
372.6596049 273.784335228906 273.689684890148
373.6467036 273.777814554222 273.690767093176
374.640803 273.773069926775 273.693774709839
375.6289018 273.769205645044 273.699530539236
376.7520141 273.767096926279 273.706348219225
377.7041093 273.767309333571 273.714938872327
378.6572046 273.768266446111 273.725983517418
379.6703059 273.770395638617 273.738199184813
380.6274016 273.775355229241 273.754929235034
381.7655154 273.783106843389 273.770507714069
382.7056094 273.79155968025 273.787934261038
383.661705 273.801458457619 273.806965950073
384.6208009 273.813115405542 273.831504939603
385.7599148 273.825865158347 273.853671580245
386.7170105 273.840782583677 273.876925425065
387.6641052 273.855190795824 273.901311969553
388.6071995 273.873524886644 273.932211920755
389.7433131 273.894750994732 273.959320373382
390.6964084 273.914608044726 273.987118361356
391.6395027 273.934503600032 274.021735210624
392.7746162 273.958793534243 274.05109695173
393.7097097 273.981834710882 274.081771880313
394.6648052 274.006964436992 274.112609850023
395.6068994 274.030512687677 274.15052511303
396.7460133 274.059683979135 274.183028289853
397.7101097 274.086454836444 274.215453580159
398.6642051 274.112952051344 274.248234588263
399.6243011 274.140271043092 274.286457331828
400.7424129 274.170868882907 274.317219642803
401.6445031 274.19701611447 274.355277266223
402.7676154 274.231343620775 274.386675889764
403.703709 274.261962760364 274.417971552893
404.6488035 274.289848609287 274.449146930405
405.6058992 274.315095802869 274.484707187977
406.7220108 274.347591859803 274.514098388518
407.6691055 274.377431377951 274.542936582738
408.6252011 274.406390654208 274.57604431713
409.7633149 274.435780196181 274.602124374377
410.6974083 274.462418368661 274.627786247834
411.6565042 274.488644644059 274.652184714753
412.6135999 274.513348107791 274.679168204653
413.7367122 274.538988604917 274.698996925873
414.6168002 274.557953534119 274.722470221262
415.7369122 274.586310256398 274.740652609279
416.6810066 274.610643267912 274.757563104272
417.6401025 274.630934563377 274.775459503078
418.7742159 274.65077545706 274.789102830886
420.7394124 274.683546079745 274.810881764368
421.725511 274.698956215168 274.819028321321
422.7146099 274.712295510348 274.825632820078
423.7737158 274.725732132407 274.829788635431
424.7568141 274.736667826111 274.832045391875
425.745913 274.745261278768 274.832402246117
426.6870071 274.751883653517 274.830849363459
427.6981082 274.756921479559 274.82740614716
428.6872071 274.760592339236 274.822084009066
429.676306 274.763111257805 274.814905933288
430.666405 274.76342356288 274.80592474757
431.6555039 274.763072859642 274.794294012984
432.7196103 274.759128090686 274.781627663831
433.7147098 274.754108180453 274.76739953131
434.7028086 274.748678698985 274.751575099621
435.6919075 274.741843862005 274.734203116816
436.6830066 274.731845057956 274.71541169991
437.6731056 274.721631256384 274.69537240356
438.6582041 274.709169948267 274.673925517453
439.6503033 274.695244465167 274.651372864859
440.6394022 274.680538295721 274.625941276324
441.7025085 274.664329585648 274.60127997215
442.6916074 274.647905930854 274.575684417429
443.6837066 274.63019222798 274.549418833256
444.6728055 274.611111704419 274.52262899627
445.657904 274.589901578771 274.495043715966
446.6530035 274.568811893458 274.467220325375
447.6421024 274.547563637344 274.439169024085
448.6292011 274.525944358471 274.410809165182
449.6213003 274.502919952821 274.380428659148
450.6824064 274.479094529408 274.352904297328
451.6465028 274.456285452862 274.324863963469
452.6356017 274.43294924678 274.297058373127
453.6277009 274.409203664115 274.269773643197
454.6167998 274.384283395735 274.243067807856
455.6048986 274.360617501461 274.212233267206
456.7780159 274.333882867658 274.188249511223
457.7211102 274.310409291115 274.164722848517
458.679206 274.291819439799 274.140777490808
459.6963077 274.266940988221 274.119287863383
460.6544035 274.244192210343 274.098942937331
461.6114992 274.223982578302 274.076324912137
462.749613 274.202774879981 274.058932231947
463.6947075 274.183033872607 274.042615892939
464.6558036 274.165107612287 274.027765382261
465.6158996 274.148235924645 274.012201132671
466.7480128 274.130486447239 274.000875398521
467.6941074 274.117090580321 273.991161480327
468.6372017 274.101977423877 273.981543780659
469.7823162 274.088154255569 273.975454122955
470.7264106 274.076614090371 273.971015479642
471.6825062 274.069271300051 273.968356641153
472.630601 274.060485054295 273.967482907396
473.7687148 274.052909399025 273.968684546681
474.7098089 274.047811197325 273.971682498146
475.6629042 274.045917289012 273.97731923087
476.7550134 274.044394485125 273.984110121547
477.7031082 274.04402338176 273.992748615214
478.661204 274.044376569789 274.003139031488
480.7604139 274.05370791324 274.031742715269
481.7045083 274.060776819736 274.047617667953
482.6676046 274.069368555448 274.065019698189
483.6257004 274.078136908762 274.087661556625
484.761814 274.090301564993 274.108154954372
485.7099088 274.102407399282 274.129916544212
486.6530031 274.117267178145 274.153511469651
487.6170995 274.133201970481 274.182935867067
488.752213 274.151926599126 274.20864428209
489.6953073 274.170595023975 274.235874145279
490.6544032 274.191528659923 274.264199494265
491.6164994 274.211113589818 274.298885062694
492.7546132 274.234018273346 274.32848567616
493.6977075 274.258369226659 274.35931472643
494.6578035 274.281294706267 274.396065000105
495.7789156 274.311619951367 274.427691376872
496.7280105 274.337514874916 274.459917669499
497.6841061 274.364052450102 274.492575933587
498.6452022 274.390825716292 274.525354985078
499.6052982 274.417425140507 274.564261460492
500.743412 274.448414552594 274.597201088648
501.7095086 274.478372704631 274.630854508649
502.7026079 274.507314927322 274.66657932756
503.7677144 274.539088433527 274.6994517467
504.7618138 274.568205237385 274.731588554088
505.7509127 274.596953687613 274.763042875376
506.7400116 274.626851720711 274.793765000166
507.7311107 274.655247417561 274.823522971399
508.7202096 274.684347302663 274.852246812719
509.7083084 274.711924333701 274.880003789802
510.7014077 274.739207205738 274.906392035403
511.6885064 274.766920357741 274.933368559684
512.7516127 274.794928125497 274.95712375721
513.744712 274.818443463609 274.979312857909
514.7338109 274.841429058255 274.999899123943
515.7199095 274.865277513801 275.018938883749
516.7090084 274.887385356369 275.036337602274
517.7001075 274.909086305331 275.051968524431
518.6892064 274.926507068784 275.065818733776
519.6783053 274.944378484538 275.077867810247
520.6694044 274.962093833008 275.088734447193
521.7345109 274.976604103746 275.096841923603
522.7206095 274.990256820058 275.103082171603
523.7127087 275.002698683409 275.107373086694
524.7008075 275.012933814365 275.109739162172
525.6899064 275.022367673108 275.11019975171
526.6310005 275.029223557654 275.108762421976
527.6401014 275.034476843792 275.105434533896
528.6282002 275.038324650658 275.100229893352
529.616299 275.040628728721 275.092577728095
530.6784052 275.041665564362 275.083544837025
531.6705044 275.040746492753 275.072773132475
532.6596033 275.037876635661 275.060276748318
533.6497023 275.032974075433 275.046033990321
534.6458019 275.026899006743 275.030315576656
535.6339007 275.018599246594 275.013084840662
536.6219995 275.010140782809 274.994261972503
537.6180991 274.999475570794 274.974232426517
539.667304 274.973578138833 274.928862467701
540.6514024 274.95924196284 274.905153141108
541.6435016 274.943812721325 274.880571596851
542.6316004 274.925490748451 274.855129619523
543.6196992 274.907893351116 274.828801534334
544.6127985 274.888498944203 274.801964460882
545.6008973 274.868968970747 274.769568931517
546.7690141 274.845550559055 274.743037179454
547.7111083 274.824497678474 274.714057220613
548.7302102 274.799848260006 274.686660737438
549.688306 274.778501276636 274.659171551137
550.648402 274.756120239448 274.627116820132
551.7715143 274.731141098212 274.600096310559
552.7256097 274.707979624401 274.573548766755
553.6737045 274.684641681739 274.547161128112
554.6308002 274.660832896851 274.516439574605
555.7699141 274.635406497645 274.491684263827
556.7130084 274.614237175887 274.467647500325
557.6561027 274.589315396883 274.443939748494
558.619199 274.56683834182 274.417147331701
559.7573128 274.542974072508 274.396053624332
560.7004071 274.520886398894 274.375723579329
561.659503 274.50049849581 274.356568984857
562.6205991 274.480655923956 274.3355718816
563.7587129 274.460309217733 274.319511510552
564.709808 274.440935294577 274.304802826703
565.6659036 274.425997305137 274.291765811031
566.6089979 274.409144793091 274.278101503823
567.7431113 274.392077358873 274.268461213864
568.6872057 274.378777720282 274.260435618006
569.6323002 274.366376545499 274.253052758418
570.7574127 274.354817514131 274.248707708958
571.7035073 274.347064589846 274.246091232936
572.6496019 274.33851054214 274.245256134043
573.7777147 274.330250864299 274.246472248731
574.7178087 274.32663678167 274.249452494061
575.6629032 274.322244601464 274.255039402929
576.7470116 274.31941374708 274.261799324627
577.6931062 274.321307808521 274.27036969083
578.6462015 274.323670267724 274.280732718013
579.6032972 274.325172720968 274.295321960312
580.7424111 274.331208136123 274.309216140954
581.6855054 274.338354409214 274.324747418676
582.6305999 274.346322316747 274.345637135281
583.7747143 274.356319981209 274.365577617584
584.7688137 274.368447244174 274.387000022236
585.7579126 274.380848426549 274.40985669554
586.7440112 274.395182151161 274.434209011305
587.7331101 274.411351177346 274.459906255914
588.722209 274.429237788676 274.486859820179
589.7113079 274.447772083169 274.514976244266
590.7004068 274.468198063261 274.544157578542
591.6895057 274.489092586309 274.576779027331
592.7586126 274.512431739424 274.607844881389
593.7477115 274.53735039224 274.639649761565
594.7368104 274.563185610505 274.672147619936
595.7279095 274.587500537446 274.704991887108
596.7140081 274.613103200237 274.738331122225
597.703107 274.640582378576 274.772050270779
599.683305 274.696573015217 274.839571475161
600.6714038 274.725419830812 274.874971054635
601.7095076 274.756980356635 274.908691964526
602.7046071 274.786119515462 274.941848944018
603.6927059 274.814693183727 274.974300112893
604.6728039 274.843167255806 275.006331650937
605.6569023 274.872112600227 275.037918644436
606.6480014 274.901956746164 275.068688685573
607.6381004 274.931350594566 275.098506217886
608.6261992 274.960061171259 275.12753034263
609.6212987 274.988108939227 275.157363250582
610.6864052 275.01623374188 275.183822623203
611.6755041 275.043188817299 275.208989443993
612.664603 275.06996745998 275.232777151728
613.6537019 275.094616287138 275.255082697724
614.6418007 275.118466528138 275.275875697571
615.6308996 275.1413184733 275.2951188434
616.6229988 275.1636841385 275.312615274165
617.6110976 275.183704811341 275.328449319979
618.6031968 275.202847450421 275.343523252565
619.6733038 275.223551935414 275.355547962302
620.6614026 275.239159109662 275.365726559492
621.6505015 275.255311689173 275.37403950625
622.6426007 275.267695641741 275.380409600318
623.6306995 275.278674052333 275.384863752454
624.6197984 275.289378549032 275.387395813751
625.6138978 275.300159888137 275.387910544915
626.7400104 275.308462899626 275.386406981313
627.6911055 275.312759069601 275.382870465337
628.7042068 275.317057805332 275.377724921296
629.6603024 275.318952425554 275.370803784838
630.6223986 275.318893538694 275.360396637575
631.7615125 275.318268825974 275.350011903565
632.7046068 275.314712574203 275.337979394207
633.6547018 275.309556143792 275.324241787471
634.616798 275.304691594008 275.30612260738
635.7509114 275.296155606196 275.289468946892
636.6980061 275.288771763692 275.271541486821
637.6431006 275.277189097324 275.248383756954
638.7782141 275.263222871337 275.227884317108
639.7213084 275.24900323873 275.205954158066
640.6804043 275.233864541821 275.183337972674
641.6264989 275.21978072449 275.155244394417
642.7536116 275.202709199062 275.130805186286
643.6997062 275.184818496749 275.105281609472
644.6608023 275.16512808076 275.079432522059
645.6118974 275.146866352876 275.04831857063
646.7340096 275.122470599686 275.021798119195
647.6761038 275.1020201868 274.994537930336
648.6351997 275.079928861954 274.962340311335
649.7613123 275.054437869477 274.935282047885
650.7064068 275.032661745466 274.908729095538
651.6364998 275.012954294898 274.87685202438
652.7616123 274.985433690279 274.850429177236
653.7057067 274.96103910157 274.82402988811
654.6638025 274.939691100778 274.798554436974
655.6068968 274.914925643082 274.768626306136
656.7450106 274.889417974438 274.744565491578
657.6901051 274.866037820485 274.720889424964
659.609297 274.822232146484 274.672778495813
660.7484109 274.798814058403 274.652753561785
661.6955056 274.777349326694 274.633857701966
662.6456006 274.75609976047 274.616018689322
663.6076968 274.741042625466 274.596942723078
664.7308091 274.720673874058 274.582470609326
665.6729033 274.702880435289 274.569236584394
666.6319992 274.685440345098 274.555606664385
667.7671127 274.667688048569 274.54600710745
668.7112071 274.655482918793 274.537940110694
669.6673027 274.644527009273 274.531542169625
670.6293989 274.633061739158 274.526249502617
671.7665126 274.622379797754 274.523861234781
672.6496009 274.614976948016 274.523024679778
673.7737133 274.608690169952 274.524251146007
674.7218081 274.603534815879 274.527255243072
675.670903 274.600975060072 274.532852983821
676.7540113 274.59880694842 274.540007887603
677.7471106 274.598748074096 274.549090107969
678.74121 274.601169601445 274.559996861593
679.7293088 274.603122695063 274.572773429472
680.7194078 274.608239652103 274.585667388316
681.6004959 274.613200471271 274.604113754911
682.7226081 274.622886632457 274.621339452617
683.6667025 274.633453385386 274.640399726432
684.6267985 274.644957053651 274.664859750949
685.761912 274.659407088474 274.687770185858
686.7500108 274.673997974586 274.712358904966
687.7481106 274.689328712033 274.738075877121
